Name,Rating,Rating_Extremeness,Helpfulness,Helpfulness_Negative,Helpfulness_Positive,Verification,Amount_of_positive_attributes,Amount_of_negative_attributes,Amount_of_neutral_attributes,Total_amount_of_attributes,Total_amount_of_valent_attributes,Date_of_Review
pavlosba1999,1,2,0,2,2,0,2,3,3,8,5,2023-07-26
Pantelis_Filis,3,0,1,0,1,0,2,0,5,7,2,2023-03-28
gkogkoskon,5,2,2,1,3,0,8,0,0,8,8,2023-02-28
Aliki-Mihailia,4,1,0,3,3,0,3,2,3,8,5,2023-02-26
vagelis011,4,1,1,0,1,1,6,0,2,8,6,2023-01-31
Ioannis_799,4,1,3,0,3,0,5,0,3,8,5,2023-01-04
Melissokomia_Aelia_beekeeping_,2,1,4,1,5,0,2,3,3,8,5,2022-09-29
i-F8,5,2,1,2,3,0,8,0,0,8,8,2022-08-27
Christos Hatzigiannis,4,1,4,0,4,0,7,0,1,8,7,2022-08-07
Antonis_Fosteris8,5,2,3,2,5,0,7,0,1,8,7,2022-06-30
alexvell_4,5,2,5,0,5,0,4,1,3,8,5,2022-06-21
Brothers_TV,2,1,2,1,3,0,2,2,4,8,4,2022-06-20
Vezire_Mere,5,2,3,0,3,0,8,0,0,8,8,2022-06-02
Vagos77,3,0,4,0,4,0,4,1,3,8,5,2022-05-10
Giannis_Giazitzoglou,2,1,2,2,4,0,0,3,5,8,3,2022-05-07
THomas_Koukoulis2288,1,2,2,4,6,0,1,6,1,8,7,2022-05-01
Mi T,4,1,5,0,5,0,6,0,2,8,6,2022-04-21
Irena_P_,1,2,0,4,4,0,2,5,1,8,7,2022-04-02
Teo_o_legomenos,3,0,1,4,5,0,4,2,2,8,6,2022-03-29
Faye_Autumn,4,1,4,1,5,0,6,0,2,8,6,2022-01-21
Pro_Wild_rift,5,2,1,1,2,1,8,0,0,8,8,2022-01-20
_Elena____________0911,5,2,4,0,4,1,8,0,0,8,8,2021-12-15
KOSTAS_KATIS920,1,2,1,4,5,0,0,5,3,8,5,2021-12-07
__Katerina__314,5,2,1,1,2,0,7,0,1,8,7,2021-12-06
ap_pantazis1,1,2,-1,1,0,0,2,3,3,8,5,2024-03-05
Stamatis_MS,5,2,0,2,2,0,8,0,0,8,8,2024-02-08
Stella_Lkrd,1,2,0,3,3,0,1,6,1,8,7,2024-01-30
Jonathan_Beach,3,0,4,2,6,0,4,1,3,8,5,2023-12-28
x100gr,3,0,4,3,7,0,1,1,6,8,2,2023-11-25
george_stamos4371,3,0,0,6,6,0,3,3,2,8,6,2023-09-03
ANNA_DASKALAKI65,1,2,1,4,5,0,0,8,0,8,8,2023-08-27
NIKOS_ZOGRAFISTOS,1,2,-10,13,3,0,0,8,0,8,8,2023-08-26
zzoitsa,3,0,1,5,6,1,5,2,1,8,7,2023-08-09
Nikos_Panagiotopoulos1036,4,1,3,3,6,1,5,0,3,8,5,2023-07-26
skywarp2002,5,2,1,3,4,1,8,0,0,8,8,2023-07-19
Katerina_Xatzileonti,5,2,0,1,1,1,8,0,0,8,8,2023-06-13
Katrinis,5,2,1,1,2,0,7,0,1,8,7,2023-05-31
Chris_Patsias,5,2,0,1,1,1,7,0,1,8,7,2023-05-16
Greg_Dim,4,1,8,2,10,0,8,0,0,8,8,2023-04-30
Alkisti24,3,0,5,8,13,1,4,1,3,8,5,2023-04-30
Olga_Margariti___Zani,5,2,14,4,18,0,7,0,1,8,7,2023-04-08
xristosthassos,2,1,2,13,15,0,4,1,3,8,5,2023-04-06
Basilosre,4,1,6,0,6,0,7,0,1,8,7,2023-04-04
Stavros Chatzinikos,5,2,4,6,10,1,7,0,0,7,7,2023-03-30
Giorgos_Kardamilas7366,4,1,0,4,4,1,6,0,2,8,6,2023-03-23
Rafail_Kornaros,4,1,5,7,12,0,7,0,1,8,7,2023-02-18
Katerina_Ka_i_ri,5,2,1,18,19,0,8,0,0,8,8,2023-02-08
Konstantina_Lyberopoulou9727,5,2,5,3,8,0,8,0,0,8,8,2023-02-07
Daphne.D,2,1,4,13,17,0,1,6,1,8,7,2023-02-06
dimisk77,5,2,10,4,14,1,8,0,0,8,8,2023-01-24
j_petrou,5,2,33,3,36,0,8,0,0,8,8,2022-12-30
agiatrias_Voulgaris,5,2,11,5,16,0,8,0,0,8,8,2022-12-25
Petros_Lempla,5,2,14,3,17,1,8,0,0,8,8,2022-12-20
_______________7300,5,2,5,1,6,0,8,0,0,8,8,2024-02-29
christina_tzimikou,4,1,-6,9,3,1,5,1,1,7,6,2024-02-28
So_Simple,5,2,23,2,25,0,8,0,0,8,8,2024-02-07
_______________7300,5,2,6,0,6,0,8,0,0,8,8,2024-02-29
christina_tzimikou,4,1,-5,7,2,1,5,1,1,7,6,2024-02-28
So_Simple,5,2,24,1,25,0,8,0,0,8,8,2024-02-07
efStelios,5,2,0,0,0,0,8,0,0,8,8,2024-03-04
ZOUMPOURLIS_THEODOSIOS,3,0,2,0,2,0,6,0,2,8,6,2024-01-10
d.kapodistrias17,3,0,2,1,3,0,3,1,4,8,4,2024-01-09
Georgia_Maragaki,1,2,-8,9,1,0,3,4,1,8,7,2023-11-18
katerinamat,5,2,3,1,4,1,8,0,0,8,8,2023-10-31
Giwrgosp25,3,0,2,4,6,0,1,2,5,8,3,2023-09-18
lia.nestoridou,1,2,-4,8,4,0,0,5,3,8,5,2023-09-14
Immor9799,5,2,1,2,3,0,7,0,1,8,7,2023-08-12
Χρήστος2020,5,2,4,3,7,1,8,0,0,8,8,2023-07-29
Oresti_20083110,4,1,3,2,5,1,6,0,2,8,6,2023-07-18
Purpleacee,2,1,-7,12,5,0,1,3,4,8,4,2023-07-08
Fanis_Z_,2,1,-2,9,7,0,2,1,5,8,3,2023-06-22
IoannaMixaela_Giannopoulou,5,2,4,3,7,0,8,0,0,8,8,2023-05-21
dimitrios.koutas,3,0,-8,11,3,1,6,0,2,8,6,2023-05-16
dimitrios.koutas,3,0,-5,7,2,0,0,0,0,0,0,2023-05-10
Computer_Scientist_231,4,1,17,1,18,1,7,0,1,8,7,2023-04-04
J_K5334,3,0,-10,11,1,0,1,2,5,8,3,2023-04-03
1307,4,1,0,7,7,0,6,1,0,7,7,2023-03-17
Stelaras_1302,4,1,-1,7,6,0,6,0,2,8,6,2023-03-16
vassiliou_n,4,1,0,7,7,1,7,0,0,7,7,2023-03-16
Pipinos_Papadopoulos,5,2,4,5,9,0,7,0,1,8,7,2023-03-14
Chris80's,5,2,5,3,8,0,7,0,0,7,7,2023-03-09
Stayro_Kakof,5,2,2,3,5,0,8,0,0,8,8,2023-02-21
g.terzis,4,1,10,6,16,1,6,0,2,8,6,2023-02-21
P.faliro,3,0,-1,12,11,1,8,0,0,8,8,2023-02-18
Sotiris_Lamp,5,2,0,7,7,0,8,0,0,8,8,2023-01-21
ToNy_P6442,2,1,-5,18,13,1,3,2,3,8,5,2023-03-01
danny_alexander_fiks,1,2,-17,22,5,0,1,3,4,8,4,2023-05-31
IoannaMixaela_Giannopoulou,5,2,0,2,2,0,8,0,0,8,8,2023-05-22
sophia_k81,3,0,0,4,4,1,4,0,2,6,4,2024-03-06
Panos_Nastas,5,2,0,3,3,1,8,0,0,8,8,2024-03-06
Padelis_Likos,5,2,11,1,12,0,8,0,0,8,8,2024-03-02
evridiki90221,5,2,8,0,8,0,8,0,0,8,8,2024-03-02
Mairh_Alexiou,2,1,-18,22,4,0,0,2,6,8,2,2024-02-25
Giannis_Giazitzoglou,4,1,4,0,4,0,4,0,4,8,4,2024-02-19
aigin,4,1,3,2,5,0,8,0,0,8,8,2024-02-03
isaacnicos,5,2,8,0,8,1,6,0,1,7,6,2024-01-30
GIORGOS_THEODOROPOULOS630,5,2,9,1,10,1,7,0,1,8,7,2024-01-23
Kiki_Mpourgoudi9450,4,1,0,6,6,0,7,1,0,8,8,2024-01-13
Hi tech love,4,1,7,5,12,0,8,0,0,8,8,2024-01-02
mania_c_afroula,1,2,-58,67,9,0,3,3,2,8,6,2023-12-30
KonK2609,4,1,-3,8,5,1,6,0,2,8,6,2023-12-30
georgio1518,5,2,9,0,9,0,8,0,0,8,8,2023-12-28
kostas_kkm,4,1,1,3,4,0,6,0,2,8,6,2023-12-27
d.chatzo,5,2,8,0,8,0,5,0,3,8,5,2023-12-24
Thodoras_Gr14,4,1,3,2,5,0,8,0,0,8,8,2023-12-22
NikolasVarnas,5,2,1,1,2,1,8,0,0,8,8,2023-12-21
katerinamaur2004,4,1,7,2,9,0,5,0,3,8,5,2023-12-16
Giorgos_Rigas,4,1,0,0,0,0,6,0,2,8,6,2023-12-06
milonkostas,5,2,1,0,1,0,8,0,0,8,8,2023-11-26
Evan Agrap,5,2,8,1,9,0,8,0,0,8,8,2023-11-25
Elias_Lekk,5,2,10,2,12,0,8,0,0,8,8,2023-11-25
kurusali,2,1,-8,14,6,0,0,5,3,8,5,2023-11-15
Maria_Zamanakou,2,1,-5,12,7,1,4,2,2,8,6,2023-11-11
sophia_k81,3,0,1,3,4,1,4,0,2,6,4,2024-03-06
Mairh_Alexiou,2,1,-17,21,4,0,0,2,6,8,2,2024-02-25
athina_makrogianni,4,1,1,0,1,0,6,0,2,8,6,2023-11-01
DIMITRIS_MASOURAS,5,2,0,0,0,0,8,0,0,8,8,2022-12-18
Lambros Karekos,5,2,1,0,1,0,7,1,0,8,8,2022-12-17
dimitrisspyros,3,0,2,2,4,0,5,2,1,8,7,2022-01-13
Nikos_Mastro46,3,0,1,1,2,0,2,2,4,8,4,2021-12-12
helenigea,5,2,15,2,17,0,8,0,0,8,8,2021-06-13
GOD_GAMER,4,1,-6,21,15,0,7,0,1,8,7,2021-04-02
Natasa_Alexandropoulou,5,2,13,1,14,0,8,0,0,8,8,2021-03-23
dimten,5,2,14,6,20,0,6,0,0,6,6,2021-02-13
nicktm,1,2,-19,37,18,0,1,4,2,7,5,2021-02-08
nikos_pits,5,2,-7,23,16,0,7,0,1,8,7,2021-02-06
RIVERS,1,2,21,24,45,0,5,2,1,8,7,2020-12-23
alexzarog,5,2,0,0,0,0,8,0,0,8,8,2024-03-15
alexandros.tsentelieros,3,0,0,0,0,0,3,2,3,8,5,2024-03-08
Alex_Alecos,5,2,3,0,3,0,7,0,1,8,7,2024-02-18
Loukia_Xristodoulou,3,0,3,0,3,1,5,1,2,8,6,2024-01-08
kyriakosvol,4,1,-1,1,0,0,6,0,2,8,6,2024-01-07
d.kapodistrias17,5,2,0,0,0,0,8,0,0,8,8,2023-12-29
Dimitris9691,2,1,-3,5,2,0,3,2,3,8,5,2023-12-13
Adonis_Adoneas,3,0,2,0,2,0,0,2,6,8,2,2023-12-10
babispav,5,2,3,0,3,0,7,0,1,8,7,2023-12-08
kikasoeo,1,2,1,0,1,0,2,2,4,8,4,2023-11-22
lefaset,4,1,4,0,4,0,6,1,1,8,7,2023-10-31
pappapkaterina,5,2,1,1,2,1,8,0,0,8,8,2023-09-19
Grigoris_Margaritis,5,2,3,1,4,0,8,0,0,8,8,2023-08-14
Bill_Bousi,5,2,3,1,4,0,8,0,0,8,8,2023-07-14
1991.,1,2,-2,8,6,0,1,3,4,8,4,2023-07-13
Antonis_Pensas,3,0,3,3,6,0,3,1,4,8,4,2023-06-30
xara.33,5,2,-1,3,2,1,8,0,0,8,8,2023-06-22
Katrinis,4,1,7,1,8,1,6,0,2,8,6,2023-06-19
abkkddd,4,1,1,1,2,0,3,1,3,7,4,2023-06-14
kostastry,3,0,0,0,0,1,7,0,1,8,7,2023-06-12
NenPapa,5,2,5,0,5,0,8,0,0,8,8,2023-06-06
Sotiris_Fousekis,4,1,4,0,4,0,8,0,0,8,8,2023-06-02
SAMOS8231,1,2,2,9,11,0,1,3,4,8,4,2023-06-01
Konstantina_Arvaniti3,1,2,4,8,12,0,0,2,4,6,2,2023-05-15
GREEK_WOMAN,1,2,7,3,10,0,5,1,2,8,6,2023-05-12
Stratos_Vlasakidis,1,2,4,1,5,1,0,1,0,1,1,2024-01-24
ChristiK.,1,2,-10,17,7,1,0,7,1,8,7,2024-03-12
Luanna98,5,2,1,0,1,1,8,0,0,8,8,2024-03-12
Gigt_Gt,5,2,1,1,2,1,8,0,0,8,8,2024-03-07
paris.kout,2,1,-2,5,3,0,6,2,0,8,8,2024-03-05
Shopping Girl,4,1,5,1,6,0,8,0,0,8,8,2024-03-04
harrys.tsourounakis,5,2,-6,8,2,1,7,0,1,8,7,2024-02-27
ntinadro,4,1,-2,3,1,1,4,0,3,7,4,2024-02-27
Stelios_Polikantriotis__SY2AMI,5,2,6,3,9,1,7,0,1,8,7,2024-02-13
mike238,5,2,8,1,9,1,8,0,0,8,8,2024-02-11
Aim_Tz,5,2,-3,7,4,1,4,0,1,5,4,2024-02-04
bdc695,4,1,-7,9,2,0,8,0,0,8,8,2024-01-31
Stelios_Polikantriotis__SY2AMI,5,2,12,2,14,0,8,0,0,8,8,2024-01-30
katsiouolga,5,2,2,3,5,0,7,0,1,8,7,2024-01-23
Iro4540,5,2,17,1,18,1,8,0,0,8,8,2024-01-23
Sofia_Mertika,2,1,-29,39,10,1,4,3,1,8,7,2024-01-23
Mil,5,2,10,0,10,0,8,0,0,8,8,2024-01-23
n_k.,5,2,4,0,4,0,8,0,0,8,8,2024-01-21
Μανώλης Λαμπράκης,5,2,-14,15,1,0,6,0,2,8,6,2024-01-19
nikosperr1997,4,1,-2,3,1,1,6,0,2,8,6,2024-01-17
Antreas_Oikonomou68,5,2,-3,3,0,1,7,0,1,8,7,2024-01-16
CallMeJigas,5,2,8,11,19,1,8,0,0,8,8,2024-01-16
demetres mit,5,2,11,3,14,0,8,0,0,8,8,2024-01-13
Antonis_Maganiaris,5,2,-2,19,17,0,8,0,0,8,8,2024-01-11
Lamprox,5,2,6,2,8,1,8,0,0,8,8,2024-01-09
Nick_Panagoulis,5,2,3,2,5,0,7,0,1,8,7,2024-01-08
vpp17,4,1,-11,17,6,1,7,0,1,8,7,2024-01-07
Kost244,5,2,1,0,1,0,7,0,1,8,7,2024-01-06
Dora77,5,2,22,1,23,0,8,0,0,8,8,2024-01-02
ChristiK.,1,2,-10,18,8,1,0,7,1,8,7,2024-03-12
Luanna98,5,2,-1,2,1,1,8,0,0,8,8,2024-03-12
Gigt_Gt,5,2,0,2,2,1,8,0,0,8,8,2024-03-07
paris.kout,2,1,-3,6,3,0,6,2,0,8,8,2024-03-05
Shopping Girl,4,1,4,2,6,0,8,0,0,8,8,2024-03-04
harrys.tsourounakis,5,2,-7,9,2,1,7,0,1,8,7,2024-02-27
Stelios_Polikantriotis__SY2AMI,5,2,5,4,9,1,7,0,1,8,7,2024-02-13
mike238,5,2,7,2,9,1,8,0,0,8,8,2024-02-11
Sofia_Mertika,2,1,-28,39,11,1,4,3,1,8,7,2024-01-23
Mil,5,2,9,1,10,0,8,0,0,8,8,2024-01-23
n_k.,5,2,3,1,4,0,8,0,0,8,8,2024-01-21
Vagelis_Xanthoudakis6451,5,2,0,0,0,0,7,0,1,8,7,2024-03-19
ChristiK.,1,2,-10,16,6,1,0,7,1,8,7,2024-03-12
harrys.tsourounakis,5,2,-5,7,2,1,7,0,1,8,7,2024-02-27
Sofia_Mertika,2,1,-30,39,9,1,4,3,1,8,7,2024-01-23
Luanna98,5,2,0,1,1,1,8,0,0,8,8,2024-03-12
ChristiK.,1,2,-9,14,5,1,0,7,1,8,7,2024-03-12
Gigt_Gt,5,2,0,1,1,1,8,0,0,8,8,2024-03-07
a_kastana,5,2,0,0,0,0,5,0,3,8,5,2024-01-01
Ippo_Soum,5,2,4,0,4,0,8,0,0,8,8,2023-06-11
alexandros_kassimis,3,0,-1,2,1,0,1,0,6,7,1,2023-01-23
Dimitris_Katsifarakis4735,5,2,4,0,4,0,5,1,2,8,6,2022-04-17
fabiokoshi3,4,1,1,0,1,0,4,1,3,8,5,2022-03-20
mariapap1221,4,1,3,0,3,0,5,0,3,8,5,2022-01-22
Theodora2638,5,2,2,0,2,0,6,0,2,8,6,2021-09-06
[email protected],5,2,2,0,2,0,8,0,0,8,8,2021-08-31
Dimitris_Ppz,5,2,-1,2,1,0,8,0,0,8,8,2021-05-11
Kostas_Sou,5,2,2,1,3,0,5,0,3,8,5,2021-04-30
Eythymios_Mpliamtis,5,2,1,1,2,0,8,0,0,8,8,2021-04-27
athina_koug4,4,1,1,1,2,0,6,0,1,7,6,2021-03-27
TEO_Koutsakis_Messi_for_ever,3,0,-2,6,4,0,3,2,3,8,5,2021-02-13
αλτερνατιβ,2,1,-1,2,1,0,2,3,3,8,5,2021-01-17
sadalienvert,5,2,7,0,7,0,8,0,0,8,8,2021-01-04
kostas_Stilianos,5,2,8,0,8,0,8,0,0,8,8,2020-11-22
Δέσποινα20,5,2,6,0,6,0,8,0,0,8,8,2020-04-25
Apost_Kiriakidis,3,0,-11,15,4,0,1,5,2,8,6,2019-12-26
darknerezza,5,2,7,1,8,1,8,0,0,8,8,2019-12-03
Stam_Croes,4,1,4,1,5,0,4,0,4,8,4,2019-10-08
FARMAKOPOIOS_1936,4,1,3,4,7,0,6,0,1,7,6,2019-08-18
Afroditi_Spanou,1,2,-3,5,2,0,1,5,2,8,6,2019-08-17
kika_Kikitsa,3,0,2,0,2,0,4,0,4,8,4,2019-08-07
EudoxiePap,5,2,7,0,7,0,8,0,0,8,8,2019-08-06
Billis_Ladikos,1,2,1,2,3,0,5,2,1,8,7,2019-08-01
AndroTech GR,3,0,0,3,3,0,2,2,4,8,4,2019-07-15
xaris07,3,0,-6,9,3,0,2,2,4,8,4,2019-05-15
Giorgos_Venios,5,2,7,1,8,0,8,0,0,8,8,2019-05-04
SYNODINOU SOFIA,5,2,7,0,7,1,8,0,0,8,8,2019-04-23
evangelia_pl,2,1,-8,13,5,0,2,5,1,8,7,2019-04-11
tasos_Mitrou,3,0,0,0,0,0,6,1,1,8,7,2024-01-28
fmaril1,5,2,8,1,9,0,8,0,0,8,8,2021-02-26
TTL_TRIANTA122,5,2,5,0,5,0,8,0,0,8,8,2020-07-26
nick_papas1420,2,1,2,0,2,0,3,1,4,8,4,2024-02-05
Aris_Dr,5,2,0,0,0,0,3,0,2,5,3,2024-01-28
I_love_Disney_I_love_Disney,3,0,0,1,1,0,0,0,0,0,0,2023-03-04
Giannis_THeod_,5,2,0,0,0,0,5,0,3,8,5,2023-02-13
Marizeta_Kaklamanou_Artist,3,0,0,0,0,0,4,0,4,8,4,2022-11-18
stivkaras,3,0,-1,2,1,0,6,0,2,8,6,2022-11-08
Jim.Ann,5,2,0,0,0,0,8,0,0,8,8,2022-10-09
stamts78,1,2,0,0,0,0,0,8,0,8,8,2022-09-27
Spyros_Spyro,3,0,1,4,5,0,2,0,6,8,2,2022-06-05
Hlias_Zois7178,4,1,5,1,6,0,7,0,1,8,7,2022-02-12
annmar.ko,5,2,6,6,12,0,8,0,0,8,8,2022-01-03
maria.kastana.5,5,2,-1,1,0,1,4,0,0,4,4,2024-01-27
giorgospoutahidis,5,2,1,0,1,1,8,0,0,8,8,2024-01-09
nikos.,1,2,-3,4,1,1,0,5,3,8,5,2024-01-02
SANDRIN,2,1,2,1,3,1,3,3,2,8,6,2023-09-19
Lazaros_Kara990,3,0,1,2,3,0,0,2,6,8,2,2023-08-27
Kater1n@,5,2,3,2,5,1,8,0,0,8,8,2023-07-04
Maria_Johnson,2,1,1,3,4,0,3,1,4,8,4,2023-06-10
christinakap,3,0,1,3,4,0,0,0,7,7,0,2023-04-05
Arduino_Digital,4,1,10,1,11,1,5,0,3,8,5,2023-01-11
D__Chiotis,5,2,5,0,5,1,8,0,0,8,8,2022-12-28
stefanosalexiou_,4,1,3,2,5,0,5,0,3,8,5,2022-12-21
lazarosgr,4,1,2,7,9,1,3,3,2,8,6,2022-08-19
Pantel1s 1984,5,2,2,6,8,0,5,0,3,8,5,2023-03-23
SISSY_PATITAKI3503,1,2,-11,16,5,0,4,3,1,8,7,2023-03-04
Vasilis_Deliyiannis,5,2,1,2,3,0,8,0,0,8,8,2023-02-27
Giannis_Mayromatis3035,4,1,2,3,5,0,5,0,2,7,5,2022-11-24
Klearhos_Mavrilakos,5,2,-1,1,0,0,8,0,0,8,8,2022-11-20
Yro_ant,3,0,-4,6,2,0,4,1,3,8,5,2022-11-04
Technics_power,5,2,2,2,4,0,8,0,0,8,8,2022-08-27
D.K.1960,5,2,7,3,10,0,6,0,2,8,6,2022-07-22
Ελένη Παπαδόπουλου 09,5,2,7,4,11,1,8,0,0,8,8,2022-07-17
F20,5,2,16,2,18,1,6,0,2,8,6,2022-06-29
Παναγιωτης Καπελ.,5,2,25,2,27,1,8,0,0,8,8,2022-06-17
Ricos_P_,4,1,2,0,2,0,5,0,3,8,5,2023-11-14
Giorgos_Deliannidis,4,1,0,2,2,0,6,2,0,8,8,2023-05-04
tzinio9,5,2,13,3,16,0,8,0,0,8,8,2021-09-17
Vladimiros_Peilivanidis,5,2,5,5,10,1,6,0,2,8,6,2021-08-11
ENKI2,5,2,6,6,12,0,8,0,0,8,8,2021-01-15
Patsi.Fot,5,2,21,4,25,0,8,0,0,8,8,2020-12-24
mitsiklas13,5,2,22,3,25,0,8,0,0,8,8,2020-12-10
Manolis_Manolos,5,2,12,4,16,0,7,0,1,8,7,2020-12-03
NIKOS_ALEXIOU96,5,2,8,4,12,0,7,0,1,8,7,2020-11-14
kes_idis77,5,2,14,3,17,0,8,0,0,8,8,2020-11-03
Efi_Karamitrou,4,1,-4,10,6,0,5,1,1,7,6,2020-10-12
Potato_Girl,5,2,1,1,2,0,7,0,1,8,7,2022-11-17
Ton_Mp,5,2,2,0,2,0,7,0,1,8,7,2022-11-05
Ama_par19,5,2,2,0,2,0,7,0,1,8,7,2022-10-23
George_Hug,5,2,5,3,8,1,8,0,0,8,8,2022-02-21
kalpap,5,2,11,2,13,0,7,0,1,8,7,2021-07-27
Athanasios_Katsoulis,4,1,-2,4,2,1,7,0,1,8,7,2021-05-18
spiros_mar,5,2,0,5,5,0,7,0,1,8,7,2021-05-13
nikigia,2,1,-1,1,0,1,5,2,1,8,7,2023-02-10
STAYROULA_TZIORA,4,1,-1,1,0,0,7,0,1,8,7,2023-01-26
ThanosR92,4,1,3,3,6,0,8,0,0,8,8,2022-07-11
Rebel500cc,2,1,-19,22,3,0,3,3,2,8,6,2022-05-21
Dr.Feel,5,2,2,6,8,0,7,0,1,8,7,2021-11-05
giorgos_papas62,4,1,1,3,4,0,5,0,3,8,5,2021-08-03
stathek1,5,2,0,6,6,0,4,1,3,8,5,2021-08-02
kitsos1122,5,2,2,3,5,1,8,0,0,8,8,2021-05-30
Tsisana gati,4,1,2,4,6,1,6,0,2,8,6,2021-03-17
aris_karamanlis,4,1,6,0,6,1,4,0,4,8,4,2021-03-05
basilisnikolaou5c,4,1,5,3,8,1,7,0,1,8,7,2020-12-25
Andreas_T5486,5,2,2,4,6,0,8,0,0,8,8,2020-12-21
IOANNIS_BATASIS,4,1,7,1,8,1,7,0,1,8,7,2020-12-03
andonis_13,4,1,6,2,8,1,6,1,1,8,7,2020-11-29
Maria_Klava,2,1,2,10,12,0,4,3,1,8,7,2020-10-23
Manos_Dramitinos36,5,2,-4,9,5,0,7,0,1,8,7,2020-10-16
den_xero_ti_onoma_na_valo,4,1,3,5,8,0,7,0,1,8,7,2020-10-13
Angie_Papablack,3,0,1,8,9,0,5,0,3,8,5,2020-10-08
antoniadisjean,5,2,1,3,4,1,8,0,0,8,8,2020-10-06
Travlos_Panagis,5,2,-34,41,7,1,7,1,0,8,8,2020-09-15
FergadisAntonis,5,2,4,3,7,1,7,0,1,8,7,2020-09-11
arhs939,5,2,14,2,16,0,6,0,1,7,6,2020-09-11
Nicholas_Demetriades,4,1,4,0,4,0,7,1,0,8,8,2020-08-23
athelas,4,1,-6,13,7,0,6,0,2,8,6,2020-07-27
Alexandros_Vadarakis,4,1,0,0,0,0,5,1,2,8,6,2024-03-06
steliosgan,4,1,2,0,2,0,5,0,3,8,5,2023-09-04
Nikos_Sideris4,5,2,6,1,7,0,7,1,0,8,8,2022-03-03
Dimitrios_Lekkas4721,5,2,6,0,6,0,8,0,0,8,8,2022-02-20
moisisioan,5,2,12,1,13,0,7,0,1,8,7,2022-02-14
Alkis_Gour,5,2,6,0,6,0,8,0,0,8,8,2022-02-05
NIKOS_KAP54,5,2,4,0,4,0,8,0,0,8,8,2021-08-30
mitsos_ael__keep_the_faith,4,1,6,2,8,0,6,0,1,7,6,2021-04-02
Con_Papageorgopoulos,5,2,2,0,2,0,8,0,0,8,8,2021-04-01
7tasos7,5,2,2,2,4,0,8,0,0,8,8,2021-03-01
Nikos_Sinos,4,1,1,5,6,0,7,0,1,8,7,2021-01-24
jetoras,5,2,4,1,5,0,8,0,0,8,8,2021-01-24
doonies,4,1,-3,7,4,0,6,0,2,8,6,2021-01-08
akorakis2006,5,2,5,1,6,0,8,0,0,8,8,2020-12-31
akiskaralekas,4,1,1,5,6,0,6,1,1,8,7,2020-12-16
Natasa_Alexandropoulou,5,2,5,3,8,0,8,0,0,8,8,2020-12-02
alexiskalfas,4,1,9,0,9,0,7,1,0,8,8,2020-12-02
chris_gatos,5,2,2,3,5,0,6,0,2,8,6,2020-11-28
tsais_1444i,3,0,-1,6,5,1,3,2,3,8,5,2020-11-18
Jasonakos,5,2,7,1,8,0,7,0,1,8,7,2020-10-26
booh.booh.39,2,1,-11,27,16,0,6,1,1,8,7,2020-10-24
An10pits,4,1,1,6,7,1,7,0,1,8,7,2020-10-14
MULAN,5,2,2,2,4,0,8,0,0,8,8,2020-10-14
Dionisis_Papaxristopoulos,5,2,1,0,1,0,7,0,1,8,7,2023-06-29
thanoskkok,2,1,-6,6,0,0,1,3,4,8,4,2023-06-27
POPER_19,5,2,1,0,1,0,8,0,0,8,8,2023-06-22
Konstantinos_Triantafyllos6060,4,1,2,1,3,0,6,0,2,8,6,2023-04-24
PrasinosKolokythis,5,2,1,0,1,0,8,0,0,8,8,2023-02-11
Ama_Lea,5,2,5,0,5,0,7,0,1,8,7,2023-02-02
Alexis_Zafer,5,2,6,0,6,0,8,0,0,8,8,2023-01-31
Panos88_Kokkalitsas,5,2,9,0,9,0,8,0,0,8,8,2022-12-17
Spiros_Bour,5,2,6,0,6,0,8,0,0,8,8,2022-11-29
ffilzz,1,2,-27,31,4,0,4,2,1,7,6,2022-09-04
aristidispas,5,2,10,3,13,0,8,0,0,8,8,2022-04-16
introgr,5,2,-1,9,8,0,8,0,0,8,8,2022-02-19
pan21kap,4,1,5,6,11,0,7,0,1,8,7,2022-01-20
Alexis_Mylon,4,1,1,9,10,0,7,0,1,8,7,2022-01-19
loukp_loykp,5,2,-8,13,5,0,6,0,1,7,6,2022-01-14
Chris Sid88,5,2,14,2,16,0,8,0,0,8,8,2021-11-10
Gio_Kyr,4,1,4,3,7,0,7,0,1,8,7,2021-11-04
kostas_ellas,3,0,-30,35,5,0,5,2,1,8,7,2021-10-08
silverakos,3,0,-24,31,7,0,6,1,1,8,7,2021-10-01
nantofs,1,2,-44,56,12,0,6,2,0,8,8,2021-08-26
Thanos_Siagkas,5,2,5,2,7,0,8,0,0,8,8,2021-07-13
Thomas_Orkas33,5,2,-1,17,16,0,8,0,0,8,8,2021-06-14
Bill_The_Greek16,3,0,0,0,0,0,4,2,2,8,6,2024-02-27
Tania_Kopotyuk,3,0,1,0,1,1,5,0,2,7,5,2022-06-14
i.kal.kas,3,0,2,3,5,1,4,0,2,6,4,2022-03-09
Nick04gr,5,2,0,3,3,0,8,0,0,8,8,2021-08-15
b2010272,2,1,14,9,23,0,2,2,4,8,4,2021-06-26
nantofs,1,2,2,8,10,0,6,1,1,8,7,2021-06-09
georgilio,3,0,11,2,13,0,6,1,1,8,7,2021-06-08
faif,4,1,4,2,6,1,4,1,2,7,5,2021-05-09
stevy36,4,1,4,2,6,0,6,1,1,8,7,2021-05-04
